moneyness,T,sigma,price,vega,delta,gamma,recovered_iv,price_finite,price_nonneg,iv_ill_posed,iv_roundtrip_ok,all_pass
2.0,5.0,0.05,1.9019439115329495e-05,0.009711679154414975,1.1452931104461128e-06,6.509814243190847e-08,0.0500000629797226,True,True,False,True,True
2.0,5.0,0.2,23.69288270547544,403.9771326498614,0.15591466691850234,0.0006769725529008904,0.2,True,True,False,True,True
2.0,5.0,1.0,478.7559911124573,438.5827356215036,0.7594583955686474,0.00014699271329760377,0.9999999999999999,True,True,False,True,True
2.0,5.0,3.0,723.1248614873373,3.030764131672325,0.936571743959128,3.385908038903727e-07,3.0000000000000075,True,True,False,True,True
4.0,0.0027397260273972603,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.0027397260273972603,0.05,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.0027397260273972603,0.2,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.0027397260273972603,1.0,2.288568888127373e-154,1.611984457757476e-151,1.5047042709675117e-154,9.859797450736446e-155,0.2,True,True,True,True,True
4.0,0.0027397260273972603,3.0,1.4268760810399135e-17,3.845601243159472e-16,1.073360261359152e-18,7.840615160479685e-20,0.2,True,True,True,True,True
4.0,0.019178082191780823,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.019178082191780823,0.05,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.019178082191780823,0.2,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.019178082191780823,1.0,1.4999227875803555e-22,1.545810540661973e-20,1.4398717856543815e-23,1.3507201152674358e-24,0.2,True,True,True,True,True
4.0,0.019178082191780823,3.0,0.07000393670808369,0.32061205892602496,0.0008809602992295682,9.33829741306761e-06,2.999999998632819,True,True,False,True,True
4.0,0.0821917808219178,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.0821917808219178,0.05,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,0.0821917808219178,0.2,2.1241490274203887e-128,6.216579173537858e-125,1.1625985793254373e-128,6.33734516820546e-129,0.2,True,True,True,True,True
4.0,0.0821917808219178,1.0,5.854035468501502e-05,0.0015263380815716827,1.4121681824543785e-06,3.1119787897083686e-08,0.9999979856491088,True,True,False,True,True
4.0,0.0821917808219178,3.0,28.189985482339658,44.059904550587554,0.11912387011551952,0.00029943887725672767,2.999999999796949,True,True,False,True,True
4.0,1.0,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,1.0,0.05,1.9942039406137666e-161,2.938007076195764e-157,1.4035467873141616e-161,9.846845229910614e-162,0.2,True,True,True,True,True
4.0,1.0,0.2,2.70079445933254e-10,6.580384875579304e-08,1.2498983205896961e-11,5.513604098171047e-13,0.2,True,True,True,True,True
4.0,1.0,1.0,55.73121940073277,211.1927218154567,0.19393336306320683,0.0003539103193878426,1.0000000000304454,True,True,False,True,True
4.0,1.0,3.0,574.9442978826316,175.55151273939452,0.8417968307982198,9.806128956297982e-05,3.0000000000152234,True,True,False,True,True
4.0,5.0,0.01,0.0,0.0,0.0,0.0,,True,True,True,True,True
4.0,5.0,0.05,3.632390138167622e-27,8.954104064848471e-24,4.711402084418981e-28,6.002005755087671e-29,0.08738072224589537,True,True,True,True,True
4.0,5.0,0.2,0.5401266327981911,27.086948436025505,0.005522404287598922,4.539148172261591e-05,0.2,True,True,False,True,True
4.0,5.0,1.0,399.985294078329,549.0375677708399,0.6705015253376696,0.0001840120808097669,0.9999999999940663,True,True,False,True,True
4.0,5.0,3.0,722.8265089503739,4.228459699552447,0.9363564165752933,4.7239491649239915e-07,2.999999998632819,True,True,False,True,True
